tanggal,komoditas_id,komoditas,grup,satuan,harga_kemarin,harga,hari_nama,is_weekend,is_libur_nasional,nama_libur,is_ramadan,is_pra_ramadan
2020-01-03,60,Ikan Tongkol,IKAN SEGAR,kg,28000,28000,Jumat,0,0,,0,0
2020-01-03,62,Ikan Cakalang,IKAN SEGAR,kg,30000,30000,Jumat,0,0,,0,0
2020-01-04,2,Beras Premium,BERAS,kg,12500,12500,Sabtu,1,0,,0,0
2020-01-04,4,Beras Medium,BERAS,kg,9000,9000,Sabtu,1,0,,0,0
2020-01-04,7,Gula Kristal Putih,GULA,kg,13000,13000,Sabtu,1,0,,0,0
2020-01-04,10,Minyak Goreng Curah,MINYAK GORENG,kg,12500,12500,Sabtu,1,0,,0,0
2020-01-04,92,Minyak Goreng Kemasan Premium,MINYAK GORENG,1 liter,12000,12000,Sabtu,1,0,,0,0
2020-01-04,95,Minyak Goreng Kemasan Sederhana,MINYAK GORENG,1 Liter,0,0,Sabtu,1,0,,0,0
2020-01-04,96,Minyak Goreng MINYAKITA,MINYAK GORENG,1 Liter,0,0,Sabtu,1,0,,0,0
2020-01-04,12,Daging Sapi Paha Belakang,DAGING,kg,110000,110000,Sabtu,1,0,,0,0
2020-01-04,13,Daging Ayam Ras,DAGING,kg,30000,30000,Sabtu,1,0,,0,0
2020-01-04,14,Daging Ayam Kampung,DAGING,ekor,70000,70000,Sabtu,1,0,,0,0
2020-01-04,16,Telur Ayam Ras,TELUR AYAM,kg,23000,23000,Sabtu,1,0,,0,0
2020-01-04,17,Telur Ayam Kampung,TELUR AYAM,kg,40000,40000,Sabtu,1,0,,0,0
2020-01-04,20,Susu Kental Manis Merk Bendera,SUSU,370 gr/kl,10000,10000,Sabtu,1,0,,0,0
2020-01-04,21,Susu Kental Manis Merk Indomilk,SUSU,370 gr/kl,10000,10000,Sabtu,1,0,,0,0
2020-01-04,23,Susu Bubuk Merk Bendera (Instant),SUSU,400 gr/dos,37900,37900,Sabtu,1,0,,0,0
2020-01-04,24,Susu Bubuk Merk Indomilk (Instant),SUSU,400 gr/dos,39000,39000,Sabtu,1,0,,0,0
2020-01-04,25,Jagung Pipilan Kering,Jagung Pipilan Kering,kg,9750,9750,Sabtu,1,0,,0,0
2020-01-04,27,Bata,GARAM BERYODIUM,Buah,2000,2000,Sabtu,1,0,,0,0
2020-01-04,28,Halus,GARAM BERYODIUM,kg,8000,8000,Sabtu,1,0,,0,0
2020-01-04,30,Terigu Protein Sedang (Kemasan),TEPUNG TERIGU,kg,8500,8500,Sabtu,1,0,,0,0
2020-01-04,32,Kedelai Impor,KACANG KEDELAI,kg,9000,9000,Sabtu,1,0,,0,0
2020-01-04,33,Kedelai Lokal,KACANG KEDELAI,kg,8000,8000,Sabtu,1,0,,0,0
2020-01-04,35,Indomie Rasa Kari Ayam,MIE INSTANT,Bungkus,2500,2500,Sabtu,1,0,,0,0
2020-01-04,37,Cabe Merah Keriting,CABE,kg,40000,45000,Sabtu,1,0,,0,0
2020-01-04,38,Cabe Merah Besar,CABE,kg,40000,50000,Sabtu,1,0,,0,0
2020-01-04,50,Cabe Rawit Merah,CABE,kg,36000,50000,Sabtu,1,0,,0,0
2020-01-04,39,Bawang Merah,BAWANG,kg,26000,28000,Sabtu,1,0,,0,0
2020-01-04,49,Bawang Putih Sinco/Honan,BAWANG,kg,22000,24000,Sabtu,1,0,,0,0
2020-01-04,40,Ikan Asin Teri,Ikan Asin Teri,kg,70000,70000,Sabtu,1,0,,0,0
2020-01-04,41,KACANG HIJAU,KACANG HIJAU,kg,15000,15000,Sabtu,1,0,,0,0
2020-01-04,42,KACANG TANAH,KACANG TANAH,kg,21000,21000,Sabtu,1,0,,0,0
2020-01-04,43,KETELA POHON,KETELA POHON,kg,6000,6000,Sabtu,1,0,,0,0
2020-01-04,44,KOL/KUBIS,SAYUR MAYUR,kg,7000,6000,Sabtu,1,0,,0,0
2020-01-04,45,KENTANG,SAYUR MAYUR,kg,12000,13000,Sabtu,1,0,,0,0
2020-01-04,46,Tomat Merah,SAYUR MAYUR,kg,10000,12000,Sabtu,1,0,,0,0
2020-01-04,47,WORTEL,SAYUR MAYUR,kg,10000,10000,Sabtu,1,0,,0,0
2020-01-04,48,BUNCIS,SAYUR MAYUR,kg,15000,14000,Sabtu,1,0,,0,0
2020-01-04,58,Ikan Bandeng,IKAN SEGAR,kg,30000,28000,Sabtu,1,0,,0,0
